soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
299.0,57.0,70.0,15.2,14.6
299.0,57.0,70.0,15.2,14.6
289.0,60.0,70.0,15.2,14.6
289.0,60.0,70.0,15.2,14.6
289.0,60.0,70.0,15.2,14.6
292.0,59.0,70.0,15.2,14.6
299.0,57.0,70.0,15.2,14.6
297.0,57.0,70.0,15.2,14.6
289.0,60.0,70.0,15.2,14.6
297.0,57.0,70.0,15.2,14.6
289.0,60.0,70.0,15.2,14.6
289.0,60.0,70.0,15.2,14.6
292.0,59.0,70.0,15.2,14.6
289.0,60.0,71.0,15.2,14.63
292.0,59.0,71.0,15.2,14.63
299.0,57.0,71.0,15.2,14.63
298.0,57.0,71.0,15.2,14.63
290.0,60.0,71.0,15.2,14.63
289.0,60.0,70.0,15.2,14.6
292.0,59.0,70.0,15.2,14.6
289.0,60.0,70.0,15.2,14.6
299.0,57.0,70.0,15.2,14.6
299.0,57.0,70.0,15.2,14.6
291.0,60.0,70.0,15.2,14.6
300.0,56.0,70.0,15.2,14.6
290.0,60.0,70.0,15.2,14.6
300.0,56.0,70.0,15.2,14.6
300.0,56.0,70.0,15.2,14.6
292.0,59.0,70.0,15.2,14.6
299.0,57.0,70.0,15.2,14.6
296.0,58.0,70.0,15.2,14.6
291.0,60.0,70.0,15.2,14.6
290.0,60.0,70.0,15.2,14.6
290.0,60.0,70.0,15.2,14.6
300.0,56.0,70.0,14.9,14.27
300.0,56.0,70.0,14.9,14.27
290.0,60.0,70.0,14.8,14.16
298.0,57.0,70.0,14.8,14.16
292.0,59.0,71.0,14.8,14.19
293.0,59.0,71.0,14.8,14.19
294.0,58.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
297.0,57.0,71.0,15.1,14.52
300.0,56.0,71.0,14.8,14.19
289.0,60.0,71.0,14.8,14.19
299.0,57.0,71.0,14.9,14.3
299.0,57.0,71.0,14.8,14.19
298.0,57.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
289.0,60.0,71.0,14.8,14.19
298.0,57.0,71.0,14.8,14.19
289.0,60.0,71.0,14.8,14.19
296.0,58.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
298.0,57.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
293.0,59.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
291.0,60.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
298.0,57.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
298.0,57.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
292.0,59.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
289.0,60.0,71.0,14.8,14.19
293.0,59.0,71.0,14.8,14.19
289.0,60.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
293.0,59.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
298.0,57.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
298.0,57.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
297.0,57.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
289.0,60.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
296.0,58.0,71.0,14.8,14.19
299.0,57.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
290.0,60.0,71.0,14.8,14.19
300.0,56.0,71.0,14.8,14.19
298.0,57.0,71.0,14.5,13.86
300.0,56.0,71.0,14.8,14.19
301.0,56.0,71.0,14.5,13.86
292.0,59.0,71.0,14.4,13.75
290.0,60.0,71.0,14.4,13.75
302.0,55.0,71.0,14.4,13.75
300.0,56.0,72.0,14.4,13.78
291.0,60.0,71.0,14.4,13.75
300.0,56.0,72.0,14.4,13.78
297.0,57.0,71.0,14.4,13.75
290.0,60.0,71.0,14.4,13.75
300.0,56.0,71.0,14.4,13.75
296.0,58.0,71.0,14.4,13.75
296.0,58.0,71.0,14.4,13.75
290.0,60.0,71.0,14.4,13.75
300.0,56.0,71.0,14.4,13.75
290.0,60.0,71.0,14.4,13.75
296.0,58.0,71.0,14.4,13.75
291.0,60.0,71.0,14.4,13.75
290.0,60.0,71.0,14.4,13.75
291.0,60.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
297.0,57.0,72.0,14.4,13.78
298.0,57.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
293.0,59.0,72.0,14.4,13.78
293.0,59.0,72.0,14.4,13.78
