soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
276.0,66.0,61.0,17.4,16.79
311.0,52.0,61.0,17.4,16.79
313.0,51.0,61.0,17.4,16.79
311.0,52.0,61.0,17.4,16.79
307.0,53.0,61.0,17.4,16.79
276.0,66.0,61.0,17.4,16.79
276.0,66.0,61.0,17.4,16.79
301.0,56.0,61.0,17.4,16.79
306.0,54.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
281.0,64.0,61.0,17.4,16.79
294.0,58.0,61.0,17.4,16.79
275.0,66.0,61.0,17.4,16.79
274.0,66.0,61.0,17.4,16.79
307.0,53.0,60.0,17.4,16.76
288.0,61.0,60.0,17.4,16.76
315.0,50.0,60.0,17.4,16.76
316.0,50.0,60.0,17.4,16.76
290.0,60.0,60.0,17.4,16.76
285.0,62.0,60.0,17.4,16.76
274.0,66.0,61.0,17.4,16.79
274.0,66.0,61.0,17.4,16.79
309.0,53.0,61.0,17.4,16.79
311.0,52.0,61.0,17.4,16.79
314.0,51.0,61.0,17.4,16.79
311.0,52.0,61.0,17.4,16.79
277.0,65.0,61.0,17.4,16.79
285.0,62.0,61.0,17.4,16.79
274.0,66.0,61.0,17.4,16.79
274.0,66.0,61.0,17.4,16.79
311.0,52.0,61.0,17.4,16.79
312.0,51.0,61.0,17.4,16.79
313.0,51.0,61.0,17.4,16.79
309.0,53.0,61.0,17.4,16.79
277.0,65.0,61.0,17.4,16.79
276.0,66.0,61.0,17.4,16.79
297.0,57.0,61.0,17.4,16.79
302.0,55.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
281.0,64.0,61.0,17.4,16.79
280.0,64.0,61.0,17.4,16.79
279.0,64.0,61.0,17.4,16.79
273.0,67.0,61.0,17.4,16.79
307.0,53.0,61.0,17.4,16.79
308.0,53.0,61.0,17.4,16.79
315.0,50.0,61.0,17.4,16.79
311.0,52.0,61.0,17.4,16.79
312.0,51.0,61.0,17.4,16.79
309.0,53.0,61.0,17.4,16.79
276.0,66.0,61.0,17.4,16.79
275.0,66.0,61.0,17.4,16.79
297.0,57.0,61.0,17.4,16.79
303.0,55.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
316.0,50.0,61.0,17.4,16.79
281.0,64.0,61.0,17.4,16.79
279.0,64.0,61.0,17.4,16.79
279.0,64.0,61.0,17.4,16.79
